Tip_Label,Status,Family,Habitat,Habitat_Density,Trophic_Level,Trophic_Niche,Primary_Lifestyle
Dendragapus_obscurus,Extant,Phasianidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Generalist
Dendrocygna_bicolor,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Terrestrial
Eulipoa_wallacei,Extant,Megapodiidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Falcipennis_canadensis,Extant,Phasianidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Francolinus_natalensis,Extant,Phasianidae,Shrubland,Semi_open,Herbivore,Herbivore_terrestrial,Terrestrial
Galloperdix_bicalcarata,Extant,Phasianidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Gallus_gallus,Extant,Phasianidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Gastornis_giganteus,Extinct,Gastornithidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Guttera_pucherani,Extant,Numididae,Forest,Dense,Omnivore,Omnivore,Terrestrial
Heteronetta_atricapilla,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
